"TAXONIDCH","ACCEPTEDNAME","USAGEKEY","ACCEPTEDUSAGEKEY","SCIENTIFICNAME","RANK","SOURCE"
"","Abies alba Mill.","2685484","","","","INFOFLORA"
"","Abies nordmanniana (Steven) Spach","2685552","","","","INFOFLORA"
"","Abutilon theophrasti Medik.","3152614","","","","INFOFLORA"
"","Acacia dealbata Link","2979474","","","","INFOFLORA"
"","Acalypha australis L.","3056835","","","","INFOFLORA"
"","Acalypha virginica L.","3056055","","","","INFOFLORA"
"","Acanthus mollis L.","5415455","","","","INFOFLORA"
"","Acer campestre L.","3189863","","","","INFOFLORA"
"","Acer cappadocicum Gled.","7262908","","","","INFOFLORA"
"","Acer monspessulanum L.","7262958","","","","INFOFLORA"
"","Acer negundo L.","3189866","","","","INFOFLORA"
"","Acer opalus Mill.","7100278","","","","INFOFLORA"
"","Acer platanoides L.","3189846","","","","INFOFLORA"
"","Acer pseudoplatanus L.","3189870","","","","INFOFLORA"
"","Acer rubrum L.","3189883","","","","INFOFLORA"
"","Acer saccharinum L.","3189837","","","","INFOFLORA"
"","Achillea ageratum L.","3120391","","","","INFOFLORA"
"","Achillea atrata L.","3120203","","","","INFOFLORA"
"","Achillea clavennae L.","3120117","","","","INFOFLORA"
"","Achillea collina (Wirtg.) Becker ex Heimerl","7767460","","","","INFOFLORA"
"","Achillea crithmifolia Waldst. & Kit.","8059665","","","","INFOFLORA"
"","Achillea distans Waldst. & Kit. ex Willd.","3120264","","","","INFOFLORA"
"","Achillea erba-rotta All.","9536147","","","","INFOFLORA"
"","Achillea erba-rotta subsp. moschata (Wulfen) Vacc.","4216472","","","","INFOFLORA"
"","Achillea filipendulina Lam.","3120284","","","","INFOFLORA"
"","Achillea macrophylla L.","3118536","","","","INFOFLORA"
"","Achillea millefolium L.","3120060","","","","INFOFLORA"
"","Achillea nana L.","8714852","","","","INFOFLORA"
"","Achillea nobilis L.","3120024","","","","INFOFLORA"
"","Achillea pratensis Saukel & R.Länger","3120104","","","","INFOFLORA"
"","Achillea ptarmica L.","3120333","","","","INFOFLORA"
"","Achillea roseoalba Ehrend.","4214893","","","","INFOFLORA"
"","Achillea setacea Waldst. & Kit.","3120066","","","","INFOFLORA"
"","Achillea tomentosa L.","7787053","","","","INFOFLORA"
"","Achnatherum calamagrostis (L.) P.Beauv.","4142326","","","","INFOFLORA"
"","Acinos alpinus (L.) Moench","7308311","","","","INFOFLORA"
"","Acinos arvensis (Lam.) Dandy","2927116","","","","INFOFLORA"
"","Aconitum anthora L.","3033670","","","","INFOFLORA"
"","Aconitum lycoctonum L.","3033675","","","","INFOFLORA"
"","Aconitum lycoctonum subsp. neapolitanum (Ten.) Nyman","7400466","","","","INFOFLORA"
"","Aconitum lycoctonum subsp. vulparia (Rchb.) Nyman","3923253","","","","INFOFLORA"
"","Aconitum napellus L.","3033665","","","","INFOFLORA"
"","Aconitum napellus subsp. lusitanicum Rouy","7707872","","","","INFOFLORA"
"","Aconitum napellus subsp. vulgare Rouy & Foucaud","7410168","","","","INFOFLORA"
"","Aconitum tauricum Wulfen","7278285","","","","INFOFLORA"
"","Aconitum variegatum L.","8090449","","","","INFOFLORA"
"","Aconitum variegatum subsp. paniculatum (Arcang.) Negodi","8407438","","","","INFOFLORA"
"","Acorus calamus L.","2873769","","","","INFOFLORA"
"","Acrospelion distichophyllum (Vill.) Barberá","11071440","","","","INFOFLORA"
"","Actaea spicata L.","5371473","","","","INFOFLORA"
"","Actinidia chinensis Planch.","3189694","","","","INFOFLORA"
"","Adenostyles alliariae (Gouan) A.Kern.","3133702","","","","INFOFLORA"
"","Adenostyles alpina (L.) Bluff & Fingerh.","3133705","","","","INFOFLORA"
"","Adenostyles leucophylla (Willd.) Rchb.","3133716","","","","INFOFLORA"
"","Adiantum capillus-veneris L.","2651816","","","","INFOFLORA"
"","Adonis aestivalis L.","5371707","","","","INFOFLORA"
"","Adonis annua L.","5371709","","","","INFOFLORA"
"","Adonis flammea Jacq.","8246651","","","","INFOFLORA"
"","Adonis vernalis L.","5371711","","","","INFOFLORA"
"","Adoxa moschatellina L.","2888794","","","","INFOFLORA"
"","Aegilops cylindrica Host","5289783","","","","INFOFLORA"
"","Aegilops geniculata Roth","5289781","","","","INFOFLORA"
"","Aegilops neglecta Req. ex Bertol.","4138080","","","","INFOFLORA"
"","Aegilops triuncialis L.","5289793","","","","INFOFLORA"
"","Aegonychon purpurocaeruleum (L.) Holub","4063960","","","","INFOFLORA"
"","Aegopodium podagraria L.","3034620","","","","INFOFLORA"
"","Aesculus hippocastanum L.","3189815","","","","INFOFLORA"
"","Aethionema saxatile (L.) R.Br.","7870683","","","","INFOFLORA"
"","Aethionema thomasianum J.Gay","3051121","","","","INFOFLORA"
"","Aethusa cynapium L.","5371825","","","","INFOFLORA"
"","Agave americana L.","2767031","","","","INFOFLORA"
"","Agrimonia eupatoria L.","3001956","","","","INFOFLORA"
"","Agrimonia procera Wallr.","3002121","","","","INFOFLORA"
"","Agropyron cristatum (L.) Gaertn.","2705196","","","","INFOFLORA"
"","Agrostemma githago L.","3085368","","","","INFOFLORA"
"","Agrostis alpina Scop.","4126789","","","","INFOFLORA"
"","Agrostis canina L.","2706465","","","","INFOFLORA"
"","Agrostis capillaris L.","2706490","","","","INFOFLORA"
"","Agrostis gigantea Roth","2706541","","","","INFOFLORA"
"","Agrostis rupestris All.","2706525","","","","INFOFLORA"
"","Agrostis schleicheri Jord. & Verl.","4116935","","","","INFOFLORA"
"","Agrostis schraderiana Bech.","4116886","","","","INFOFLORA"
"","Agrostis stolonifera L.","2706435","","","","INFOFLORA"
"","Agrostis vinealis Schreb.","2706458","","","","INFOFLORA"
"","Ailanthus altissima (Mill.) Swingle","3190653","","","","INFOFLORA"
"","Aira caryophyllea L.","7747216","","","","INFOFLORA"
"","Aira elegantissima Schur","5289579","","","","INFOFLORA"
"","Aira praecox L.","5289582","","","","INFOFLORA"
"","Ajuga chamaepitys (L.) Schreb.","2927080","","","","INFOFLORA"
"","Ajuga genevensis L.","2927079","","","","INFOFLORA"
"","Ajuga pyramidalis L.","8429926","","","","INFOFLORA"
"","Ajuga reptans L.","2927078","","","","INFOFLORA"
"","Akebia quinata (Houtt.) Decne.","3033965","","","","INFOFLORA"
"","Albizia julibrissin Durazz.","2972983","","","","INFOFLORA"
"","Alcea biennis Winterl","5617600","","","","INFOFLORA"
"","Alcea rosea L.","5406789","","","","INFOFLORA"
"","Alchemilla acuminatidens (Buser) Buser","3028076","","","","INFOFLORA"
"","Alchemilla acutiloba Opiz","3027554","","","","INFOFLORA"
"","Alchemilla aggregata Buser","3028753","","","","INFOFLORA"
"","Alchemilla alpigena Hegi","7407821","","","","INFOFLORA"
"","Alchemilla alpina L.","3027648","","","","INFOFLORA"
"","Alchemilla amphisericea Buser ex Jaquet","10947386","","","","INFOFLORA"
"","Alchemilla argentidens Buser","3027853","","","","INFOFLORA"
"","Alchemilla atrovirens Buser","3027925","","","","INFOFLORA"
"","Alchemilla chirophylla Buser","3028876","","","","INFOFLORA"
"","Alchemilla colorata Buser","3027495","","","","INFOFLORA"
"","Alchemilla compta Buser","3028917","","","","INFOFLORA"
"","Alchemilla conjuncta Bab.","3028431","","","","INFOFLORA"
"","Alchemilla connivens Buser","3028082","","","","INFOFLORA"
"","Alchemilla controversa Buser","3027817","","","","INFOFLORA"
"","Alchemilla coriacea Buser","3028252","","","","INFOFLORA"
"","Alchemilla crinita Buser","3028699","","","","INFOFLORA"
"","Alchemilla curtiloba Buser ex Jaquet","8421685","","","","INFOFLORA"
"","Alchemilla decumbens Buser","3028988","","","","INFOFLORA"
"","Alchemilla demissa Buser","3027900","","","","INFOFLORA"
"","Alchemilla effusa Buser","3028884","","","","INFOFLORA"
"","Alchemilla exigua Buser","7646707","","","","INFOFLORA"
"","Alchemilla fallax Buser","3027687","","","","INFOFLORA"
"","Alchemilla filicaulis Buser","3027485","","","","INFOFLORA"
"","Alchemilla firma Buser","3028479","","","","INFOFLORA"
"","Alchemilla fissimima Buser","3028994","","","","INFOFLORA"
"","Alchemilla flabellata Buser","3027735","","","","INFOFLORA"
"","Alchemilla flavicoma Buser","8290791","","","","INFOFLORA"
"","Alchemilla flavovirens Buser","3027598","","","","INFOFLORA"
